3992666,0
4252364,0
1633536,0
1176423,0
2617966,0
6313863,0
9472963,0
7972548,0
9121993,0
1723532,1
2378676,0
8674764,0
1332659,1
9482717,0
6275268,0
4614751,0
9554189,0
5293873,0
7135632,1
6323569,1
1617637,1
8338159,0
7644111,0
9168816,0
5535951,0
5975345,1
9518522,0
5665389,0
4334537,1
7866849,0
9955458,0
4383147,1
2292172,0
5393227,1
9549136,0
5298126,1
9868256,0
5429322,1
2737344,0
6168849,0
1833896,0
9423317,0
8584472,0
9112337,0
7937411,1
3711163,0
7531842,1
6155726,0
6796774,0
2543678,0
9754657,0
1289722,0
4235436,1
1978466,0
6785425,0
6972986,0
6779321,0
3741179,1
2992997,0
5644483,0
4797771,0
8467381,0
8447231,1
7327213,0
6331978,0
8594421,0
7511689,0
6472653,1
6736868,0
1186272,0
6674573,0
5371418,0
8822216,0
8481763,1
6733839,1
3325585,1
3298216,0
1323235,0
1491861,0
6978793,1
6617791,0
5847854,0
1338791,0
6361483,0
3498191,0
1626815,0
3127229,0
6893689,0
7126926,0
3585535,0
7827637,1
1562584,0
4959768,0
2699959,0
5611722,1
5543482,1
7447549,0
7723586,1
5124826,1
7575397,1
1922681,0
8699237,0
7573528,0
7898266,0
8354179,0
1358439,0
3775637,0
6371617,1
2691873,0
2519399,0
1897828,0
5282277,0
7132169,1
3152516,0
8776371,0
9827562,1
7834878,1
7542795,0
7445494,0
6814124,0
8895653,0
3994294,0
4749639,0
5939669,0
3237421,0
9184499,0
7122665,0
7731946,1
8484872,0
5883345,0
1391817,0
7731213,1
4599891,0
8341312,0
8442655,1
7775398,0
8578343,1
9125626,0
5215674,1
5621275,1
5841621,1
8176354,0
5315927,1
6763951,1
4392512,0
1726311,0
7977238,1
5186839,0
4168941,0
3171884,0
3878877,1
6969384,0
5921276,0
8829672,0
5586786,0
2323753,1
5411797,0
1825121,0
4811459,0
5546836,0
7679223,0
4984698,0
5425973,0
7227658,0
3217996,0
3262875,1
4399429,0
2126892,0
5539532,1
5535534,0
2797677,0
1267715,0
2552689,1
4727579,0
8461225,1
9867581,0
4762677,0
3293513,0
3248759,0
6538956,0
5995821,1
9752989,0
3493234,0
3383767,1
1155984,0
1987529,0
1879189,0
3764112,0
1583337,0
4479213,0
5369537,1
2519794,0
5954815,0
3936665,0
2474364,1
3268229,0
1667217,0
6569984,0
3623767,0
5568625,0
9426916,0
9124557,1
6244933,0
5329763,0
7832531,1
6948766,0
5322563,0
4546255,1
3174325,1
3745975,1
7577991,0
1492691,0
9515535,0
6466744,0
9911461,0
3644612,0
2856433,1
5135597,0
1868753,1
9612358,1
4226576,1
9925193,0
1638855,0
1321233,0
7649196,0
2185976,0
2561478,0
4981355,0
6569873,0
3198947,0
8235797,1
1942213,0
3988971,0
2129942,0
9719615,0
6524112,1
3948399,0
3746797,0
1833224,0
1235772,0
6161494,0
6393664,0
